Jour,Stage,Heure,Artiste
Vendredi 01 Août,Hard Stage,14h00,The Surge Project
Vendredi 01 Août,Hard Stage,14h45,Yeyo
Vendredi 01 Août,Hard Stage,15h30,Merkurius
Vendredi 01 Août,Hard Stage,16h30,Strike Blood (Live)
Vendredi 01 Août,Hard Stage,17h00,D-Frek
Vendredi 01 Août,Hard Stage,18h00,Pinotello vs The Dope Doctor
Vendredi 01 Août,Hard Stage,19h00,So Juice
Vendredi 01 Août,Hard Stage,20h00,Rejecta
Vendredi 01 Août,Hard Stage,21h00,Maissouille
Vendredi 01 Août,Hard Stage,22h00,Angerfist
Vendredi 01 Août,Hard Stage,23h00,Deadly Guns
Vendredi 01 Août,Hard Stage,00h00,Miss K8 (Closing Friday)
Vendredi 01 Août,Techno Stage,14h00,Techno Stage (Opening Show)
Vendredi 01 Août,Techno Stage,14h30,Le F
Vendredi 01 Août,Techno Stage,16h00,Rubiø
Vendredi 01 Août,Techno Stage,17h30,Emma Ollivary
Vendredi 01 Août,Techno Stage,18h15,Uphoria
Vendredi 01 Août,Techno Stage,19h00,M4ZE Pusher
Vendredi 01 Août,Techno Stage,20h30,Carv
Vendredi 01 Août,Techno Stage,22h00,OnlyNumbers
Vendredi 01 Août,Techno Stage,23h30,Creeds
Samedi 02 Août,Hard Stage,13h00,Sickwest (Aftermath Opening)
Samedi 02 Août,Hard Stage,14h00,MoccCore
Samedi 02 Août,Hard Stage,15h00,Advanced Dealer
Samedi 02 Août,Hard Stage,16h00,Cosy Nghtmre
Samedi 02 Août,Hard Stage,17h00,Irradiate
Samedi 02 Août,Hard Stage,18h00,Eskape Time (Aftermath)
Samedi 02 Août,Hard Stage,18h45,R3TRIX presents 'T-Rex Mode'
Samedi 02 Août,Hard Stage,19h30,El Desperado
Samedi 02 Août,Hard Stage,20h30,Neko (Anthem Show)
Samedi 02 Août,Hard Stage,21h15,MBK
Samedi 02 Août,Hard Stage,22h00,Radium
Samedi 02 Août,Hard Stage,23h00,Dither
Samedi 02 Août,Hard Stage,00h00,Lil Texas
Samedi 02 Août,Hard Stage,00h45,End Show (Closing Saturday)
